stock,month6change,month12change,month24change,volatilityIndex,fit,,
WAT,0.14,0.37,0.78,0.01150658,0,,0.76
WBA,-0.12,-0.12,-0.02,0.000455731,0,,0.03
WDC,0.03,0.06,1,0.015115838,0,,1
WEC,-0.07,0.03,0.04,0.000115838,0,,0.01
WFC,0.1,0.02,0.24,0.000996423,0,,0.07
WHR,-0.04,-0.01,0.27,0.001112706,0,,0.07
WLTW,0.05,0.27,0.42,0.003799533,0,,0.25
WMB,-0.03,0.05,1.69,0.043162333,0,,2.85
WMT,0.27,0.54,0.54,0.009804253,0,,0.65
WM,0.08,0.17,0.55,0.005129803,0,,0.34
WRK,0.13,0.2,1,0.015983042,0,,1.06
WU,0.01,-0.02,0.12,0.000221084,0,,0.01
WYNN,0.36,0.83,2.02,0.073794855,0,,4.88
WYN,0.15,0.47,0.93,0.01672345,0,,1.11
WY,0.06,0.08,0.48,0.003551314,0,,0.23
XEC,0.15,-0.17,0.24,0.001620026,0,,0.11
XEL,-0.12,0.02,0.08,0.000321246,0,,0.02
XLNX,0.05,0.15,0.41,0.00297577,0,,0.2
XL,-0.06,0.08,0.21,0.000805039,0,,0.05
XOM,-0.04,-0.07,-0.05,0.000140339,0,,0.01
XRAY,-0.06,0.02,0.02,7.26E-05,0,,0
XRX,-0.04,0.1,-0.14,0.000475233,0,,0.03
XYL,0.2,0.52,0.98,0.019261606,0,,1.27
YUM,0.07,0.21,0.19,0.001244131,0,,0.08
ZBH,0.03,0.02,0.31,0.001498036,0,,0.1
ZION,0.18,0.26,1.61,0.040594727,0,,2.68
ZTS,0.19,0.32,0.84,0.012731401,0,,0.84
